model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DLNSModel,RandomWalk,yield,m213,213,12,267,0.01580597087740898,0.007884322665631771,0.010873725637793541,0.006233612075448036,0.00024982873583212495,6.216253677848727e-05,-3.0189599990844727,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m214,214,12,267,0.015822451561689377,0.007877745665609837,0.010886956937611103,0.006226548925042152,0.0002503499563317746,6.2058876210358e-05,-3.034071922302246,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m215,215,12,267,0.015838803723454475,0.007870715111494064,0.010900157503783703,0.0062195356003940105,0.0002508677134755999,6.194815068738535e-05,-3.04964017868042,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m216,216,12,267,0.015855003148317337,0.007863268256187439,0.010913169011473656,0.006212498061358929,0.0002513811341486871,6.183098594192415e-05,-3.065617561340332,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m217,217,12,267,0.015871061012148857,0.007855524308979511,0.010925796814262867,0.006205356679856777,0.0002518905675970018,6.170926644699648e-05,-3.0818920135498047,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m218,218,12,267,0.015886986628174782,0.007847669534385204,0.010937968268990517,0.006198081653565168,0.00025239636306650937,6.158590986160561e-05,-3.098280906677246,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m219,219,12,267,0.015902811661362648,0.007839927449822426,0.010949927382171154,0.006190678104758263,0.00025289939367212355,6.146445957710966e-05,-3.11456298828125,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m220,220,12,267,0.015918554738163948,0.007832510396838188,0.010961920954287052,0.006183180958032608,0.00025340038700960577,6.134822615422308e-05,-3.1305251121520996,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m221,221,12,267,0.015934238210320473,0.007825578562915325,0.010973669588565826,0.006175635382533073,0.00025389992515556514,6.12396834185347e-05,-3.146003246307373,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m222,222,12,267,0.015949849039316177,0.007819199934601784,0.0109851760789752,0.006168080493807793,0.00025439768796786666,6.113988638389856e-05,-3.160912036895752,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m223,223,12,267,0.015965398401021957,0.007813336327672005,0.010997048579156399,0.006160551682114601,0.0002548939373809844,6.104823114583269e-05,-3.1752877235412598,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m224,224,12,267,0.015980852767825127,0.007807874120771885,0.011011164635419846,0.006153051275759935,0.0002553876838646829,6.096289507695474e-05,-3.1892313957214355,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m225,225,12,267,0.01599622517824173,0.007802640553563833,0.011026369407773018,0.006145673803985119,0.0002558792184572667,6.088119698688388e-05,-3.2029266357421875,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m226,226,12,267,0.016011498868465424,0.007797466591000557,0.011041258461773396,0.006138427183032036,0.00025636807549744844,6.080048478906974e-05,-3.2165465354919434,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m227,227,12,267,0.01602667197585106,0.007792206946760416,0.011056276969611645,0.006131261587142944,0.0002568542258813977,6.071849202271551e-05,-3.2302470207214355,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m228,228,12,267,0.016041748225688934,0.007786780595779419,0.011071223765611649,0.0061241933144629,0.000257337698712945,6.0633949033217505e-05,-3.244119167327881,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m229,229,12,267,0.016056716442108154,0.007781155873090029,0.01108612585812807,0.006117222830653191,0.0002578181156422943,6.054639015928842e-05,-3.2581915855407715,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m230,230,12,267,0.016071531921625137,0.007775349076837301,0.011101515032351017,0.00611037015914917,0.0002582941669970751,6.045605550752953e-05,-3.272428512573242,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m231,231,12,267,0.01608617790043354,0.007769402582198381,0.011116892099380493,0.006103561259806156,0.00025876512518152595,6.0363614466041327e-05,-3.286773204803467,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m232,232,12,267,0.016100633889436722,0.007763385307043791,0.011132043786346912,0.00609678216278553,0.00025923040811903775,6.027015479048714e-05,-3.301140785217285,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m233,233,12,267,0.016114944592118263,0.007757395040243864,0.011147050186991692,0.006090033799409866,0.0002596914127934724,6.017717532813549e-05,-3.3154468536376953,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m234,234,12,267,0.01612917147576809,0.00775153236463666,0.011161821894347668,0.006083332933485508,0.0002601501764729619,6.0086254961788654e-05,-3.3296122550964355,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m235,235,12,267,0.01614340953528881,0.007745858281850815,0.011176418513059616,0.00607671495527029,0.00026060969685204327,5.9998317738063633e-05,-3.3436169624328613,mat,dlns_lee2023_h12
